Station ID,Station Name,Latitude,Longitude
10116,"DITE Okhla, Delhi, Delhi, India",28.531314,77.270686
10119,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi, Delhi, India",28.576909,77.075898
10706,"Narela, Delhi, Delhi, India",28.820629,77.101099
2554,"Mandir Marg, Delhi, Delhi, India",28.6341,77.2005
10121,"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",28.710066,77.24622
10114,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",28.700505,77.165603
10708,"Mundka, Delhi, Delhi, India",28.68241,77.030469
10120,"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India",28.572714,76.933433
10110,"Dr. Karni Singh Shooting Range, Delhi, Delhi, India",28.499727,77.267095
10707,"Sri Auribindo Marg, Delhi, Delhi, India",28.528344,77.189304
2553,"Anand Vihar, Delhi, Delhi, India",28.6508,77.3152
2556,"R.K. Puram, Delhi, Delhi, India",28.5648,77.1744
10111,"Major Dhyan Chand National Stadium, Delhi, Delhi, India",28.612498,77.237388
10112,"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",28.566827,77.251418
10704,"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",28.620171,77.287705
10113,"ITI Jahangirpuri, Delhi, Delhi, India",28.733016,77.17197
10115,"Satyawati College, Delhi, Delhi, India",28.69572,77.181295
11267,"Pooth Khurd, Bawana, Delhi, Delhi, India",28.7757959,77.0462514
10705,"Jawaharlal Nehru Stadium, Delhi, Delhi, India",28.582846,77.234366
10124,"Pusa, Delhi, Delhi, India",28.636997,77.172248
10118,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",28.672114,77.313832
2555,"Punjabi Bagh, Delhi, Delhi, India",28.6683,77.1167
10117,"Shaheed Sukhdev College of Business Studies, Rohini, Delhi, Delhi, India",28.732743,77.118788
11266,"Alipur, Delhi, Delhi, India",28.815691,77.152491
